epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.62095,2.79856,4.20574,1.95836,0.00286,0.2261,0.00708,0.00289,2.68292,3.87738,2.032,5e-05,5e-05,5e-05
2,4.92976,2.48266,4.07751,1.78184,0.00694,0.48529,0.19982,0.09042,1.86671,3.658,1.70008,0.000110272,0.000110272,0.000110272
3,6.2041,1.76055,3.35759,1.43721,0.00818,0.51875,0.19263,0.08755,1.61657,3.48003,1.47962,0.00016807,0.00016807,0.00016807
4,7.35437,1.70828,2.42997,1.32153,0.009,0.525,0.29242,0.11882,1.56848,3.22316,1.44642,0.000223392,0.000223392,0.000223392
5,8.60267,1.56816,1.86623,1.21462,0.0095,0.5375,0.38857,0.21662,1.45856,3.12542,1.27199,0.00027624,0.00027624,0.00027624
6,9.76972,1.49782,1.54984,1.18943,0.01201,0.60515,0.44269,0.21525,1.44541,3.06977,1.23239,0.000326613,0.000326613,0.000326613
7,10.963,1.4616,1.44014,1.16973,0.98831,0.21875,0.45561,0.25859,1.39551,3.02482,1.21755,0.00037451,0.00037451,0.00037451
8,12.1563,1.46871,1.31103,1.1567,0.98908,0.19768,0.4818,0.26583,1.44014,2.97075,1.24821,0.000419932,0.000419932,0.000419932
9,13.3055,1.48579,1.24828,1.14145,0.0175,0.6875,0.4839,0.2303,1.442,3.09066,1.22016,0.00046288,0.00046288,0.00046288
10,14.3828,1.4222,1.2712,1.14037,0.86295,0.35017,0.53375,0.3047,1.40765,2.96917,1.22591,0.000503353,0.000503353,0.000503353
11,15.4821,1.42171,1.1388,1.13786,0.9767,0.2772,0.68684,0.38678,1.44584,2.80264,1.20587,0.00054135,0.00054135,0.00054135
12,16.5473,1.37813,1.17199,1.12644,0.97381,0.27866,0.69601,0.40156,1.46532,2.75517,1.214,0.000576873,0.000576873,0.000576873
13,17.6776,1.40536,1.12158,1.14111,0.97252,0.2025,0.78629,0.42905,1.5207,2.67385,1.24971,0.00060992,0.00060992,0.00060992
14,18.7608,1.38249,1.11976,1.12398,0.9812,0.1875,0.74924,0.43913,1.41587,2.6339,1.20343,0.000640492,0.000640492,0.000640492
15,19.8971,1.41211,1.11838,1.12632,0.84168,0.23364,0.79924,0.39161,1.61888,2.58473,1.28074,0.00066859,0.00066859,0.00066859
16,20.9733,1.39958,1.06434,1.10127,0.84734,0.31618,0.81334,0.44599,1.48521,2.41944,1.23552,0.000694212,0.000694212,0.000694212
17,22.0696,1.40984,1.11285,1.10647,0.84346,0.55424,0.95715,0.50667,1.54211,1.97723,1.25497,0.00071736,0.00071736,0.00071736
18,23.2589,1.40971,1.11279,1.1415,0.88651,0.67274,0.94965,0.49287,1.48603,1.83733,1.24273,0.000738032,0.000738032,0.000738032
19,24.4152,1.38336,1.08069,1.10915,0.83133,0.68687,0.94237,0.48567,1.56672,1.75903,1.29036,0.00075623,0.00075623,0.00075623
20,25.5314,1.39422,1.0651,1.12119,0.79891,0.77935,0.96072,0.53698,1.47185,1.5306,1.25191,0.000771953,0.000771953,0.000771953
21,26.6207,1.35107,1.09039,1.13646,0.78691,0.69375,0.95032,0.53294,1.42012,1.68457,1.20745,0.000755,0.000755,0.000755
22,27.7992,1.37137,1.02039,1.08244,0.83626,0.8429,0.96389,0.54972,1.40724,1.39149,1.20914,0.00073025,0.00073025,0.00073025
23,28.9605,1.38665,1.03256,1.10661,0.91199,0.89262,0.96991,0.5408,1.46733,1.36205,1.21455,0.0007055,0.0007055,0.0007055
24,30.0787,1.36351,0.98506,1.1005,0.90073,0.94631,0.97332,0.53201,1.46718,1.23051,1.23784,0.00068075,0.00068075,0.00068075
25,31.188,1.33924,0.97865,1.12619,0.94024,0.98983,0.97465,0.55438,1.43653,1.0322,1.19458,0.000656,0.000656,0.000656
26,32.2643,1.40351,1.00344,1.10383,0.94026,0.98655,0.98183,0.5718,1.39612,1.11022,1.20358,0.00063125,0.00063125,0.00063125
27,33.4485,1.32484,1.0238,1.10603,0.93901,0.99329,0.98217,0.5759,1.41811,0.92236,1.18654,0.0006065,0.0006065,0.0006065
28,34.5448,1.32245,0.94373,1.07267,0.93364,0.9951,0.98311,0.58854,1.37608,0.83483,1.16991,0.00058175,0.00058175,0.00058175
29,35.7261,1.30747,0.9992,1.10664,0.91901,0.98415,0.98212,0.58786,1.39894,0.91847,1.17868,0.000557,0.000557,0.000557
30,36.8233,1.30325,0.92817,1.09207,0.92771,0.9784,0.97893,0.60018,1.37077,0.80427,1.18126,0.00053225,0.00053225,0.00053225
31,37.9236,1.30654,0.91769,1.06837,0.92734,0.98263,0.97706,0.56123,1.45462,0.81856,1.2223,0.0005075,0.0005075,0.0005075
32,39.0128,1.27669,0.93332,1.07543,0.88179,0.97526,0.96599,0.58372,1.3699,0.81977,1.18942,0.00048275,0.00048275,0.00048275
33,40.1781,1.28268,0.91186,1.07353,0.94864,0.99815,0.97896,0.60431,1.33722,0.76482,1.16309,0.000458,0.000458,0.000458
34,41.2424,1.3006,0.92249,1.0884,0.95105,0.99876,0.98289,0.60415,1.35448,0.75322,1.15743,0.00043325,0.00043325,0.00043325
35,42.3026,1.31452,0.92012,1.09091,0.94052,1,0.98077,0.60175,1.32697,0.75244,1.14773,0.0004085,0.0004085,0.0004085
36,43.4219,1.28167,0.90199,1.06649,0.94105,1,0.97774,0.58982,1.34744,0.76298,1.15696,0.00038375,0.00038375,0.00038375
37,44.5441,1.28702,0.87035,1.08252,0.94959,1,0.97752,0.60835,1.30943,0.69114,1.1468,0.000359,0.000359,0.000359
38,45.6229,1.24152,0.85704,1.05224,0.95129,0.99901,0.97838,0.61663,1.32869,0.68674,1.15618,0.00033425,0.00033425,0.00033425
39,46.728,1.24049,0.85017,1.05436,0.95069,0.99924,0.97975,0.62197,1.3216,0.68188,1.15136,0.0003095,0.0003095,0.0003095
40,47.8133,1.26031,0.87317,1.07458,0.94669,1,0.97986,0.6142,1.33241,0.68928,1.15774,0.00028475,0.00028475,0.00028475
41,51.5724,1.23514,0.96659,1.14795,0.94072,0.99109,0.98194,0.60864,1.33595,0.73116,1.1395,0.00026,0.00026,0.00026
42,52.6726,1.23078,0.95614,1.10721,0.93603,0.98395,0.97499,0.60663,1.34695,0.80468,1.14439,0.00023525,0.00023525,0.00023525
43,53.8868,1.21284,0.91275,1.08928,0.949,1,0.97835,0.59089,1.40502,0.75305,1.16138,0.0002105,0.0002105,0.0002105
44,54.9231,1.22127,0.89886,1.09278,0.95074,0.99624,0.97869,0.59456,1.37309,0.71208,1.15612,0.00018575,0.00018575,0.00018575
45,56.0794,1.19754,0.88444,1.09719,0.94901,0.99694,0.97908,0.6196,1.32347,0.68546,1.14069,0.000161,0.000161,0.000161
46,57.1836,1.18555,0.85925,1.06037,0.95059,0.9933,0.97845,0.61995,1.32329,0.6867,1.1394,0.00013625,0.00013625,0.00013625
47,58.4199,1.1406,0.84002,1.06919,0.94702,0.99141,0.97834,0.61589,1.32931,0.68708,1.13985,0.0001115,0.0001115,0.0001115
48,59.5352,1.16721,0.83266,1.07277,0.94477,0.98794,0.9777,0.6173,1.32689,0.67931,1.13898,8.675e-05,8.675e-05,8.675e-05
49,60.6584,1.17614,0.85238,1.07007,0.94264,0.99465,0.97712,0.62367,1.31772,0.66286,1.1344,6.2e-05,6.2e-05,6.2e-05
50,61.7547,1.15435,0.8292,1.067,0.94828,0.98908,0.97781,0.62959,1.31229,0.65582,1.13213,3.725e-05,3.725e-05,3.725e-05
